ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
1724,8.12,0.103,10.82,0.167,1.59,5.47,34.7,Pasir,,1.873,Tidak Subur
1725,3.6,0.089,9.75,0.134,0.49,7.95,24.58,Liat,7.5,1.535,Tidak Subur
1726,7.67,0.2,8.84,0.11,1.54,6.53,17.14,Liat,73.87,1.438,Tidak Subur
1727,4.11,,6.96,,1.4,13.56,23.2,Pasir,13.98,1.404,Tidak Subur
1728,7.1,0.4,29.35,0.317,4.63,36.21,78.38,Lempung Berpasir,30.16,1.06,Subur
1729,8.07,0.183,3.77,0.094,1.43,6.64,35.44,,66.74,1.724,Tidak Subur
1730,6.31,0.476,19.58,0.631,3.88,30.17,60.78,Lempung,34.64,1.159,Subur
1731,7.8,0.139,10.32,0.107,0.35,5.45,27.86,Liat,58.78,1.777,Tidak Subur
1732,7.27,0.289,20.07,0.666,2.76,21.46,66.06,,39.67,0.938,Subur
1733,6.48,,19.74,0.754,2.94,40.49,91.77,,33.5,,Subur
1734,7.43,0.367,26.11,0.698,4.42,31.84,66.9,Lempung,38.75,1.058,Subur
1735,7.39,0.275,23.29,0.657,2.21,35.02,96.93,Lempung,44.47,1.062,Subur
1736,6.23,0.489,49.83,0.767,2.42,44.6,92.35,Lempung,34.42,1.06,Subur
1737,7.71,,7.5,0.229,0.4,10.71,33.92,Pasir,64.83,1.821,Tidak Subur
1738,7,0.274,46.37,0.717,,23.99,78.95,Lempung,41.48,1.102,Subur
1739,8.99,0.013,10.01,0.175,1.6,7.73,16.89,Pasir,57.84,1.692,Tidak Subur
1740,8.22,0.127,10.38,0.23,0.66,12.92,50.52,Pasir,67.55,1.496,Tidak Subur
1741,8.57,0.031,,0.271,1.71,7.86,30.94,Liat,69.33,1.665,Tidak Subur
1742,5.01,0.033,9.51,0.079,1.14,15.47,25.8,Pasir,12.34,1.684,Tidak Subur
1743,3.79,0.086,13.73,0.252,0.94,9.34,54.11,Liat,14.27,1.571,Tidak Subur
1744,7.68,0.034,,,1.03,6.31,17.89,Debu,61.62,1.837,Tidak Subur
1745,3.51,0.07,6.33,0.077,0.22,16.66,19.59,Debu,11.76,1.898,Tidak Subur
1746,8.69,0.016,7.26,0.12,1.34,17.4,45.44,Pasir,56.12,1.704,Tidak Subur
1747,7.48,0.237,39.38,0.564,4.49,25.44,60.84,Lempung,29.14,0.931,Subur
1748,8.35,0.14,1.71,0.149,1.54,5.09,18.71,Liat,56.42,,Tidak Subur
1749,3.73,0.069,10.92,,0.74,5.38,31.15,Liat,18.11,1.538,Tidak Subur
1750,7.65,0.087,,0.101,0.43,17.35,55.43,Pasir,69.27,1.453,Tidak Subur
1751,4.62,,5.09,0.073,0.71,15.96,46.09,Pasir,7.17,1.829,Tidak Subur
1752,8.31,0.188,6.21,0.262,1.37,8.59,31.14,Pasir,57.99,1.897,Tidak Subur
1753,8.64,0.183,1.38,0.079,1.52,11.51,39.7,Liat,61.08,1.45,Tidak Subur
1754,8.73,,9,0.071,0.71,12.29,42.53,Liat,62.96,1.502,Tidak Subur
1755,4.73,0.141,3.03,0.165,0.25,16.23,57.72,Liat,10.3,1.785,Tidak Subur
1756,6.36,0.354,45.5,0.317,4.49,34.47,89.86,Lempung Berpasir,34.96,0.912,Subur
1757,8.95,0.029,,0.2,0.94,12.92,16.43,Pasir,73.12,1.48,Tidak Subur
1758,4.45,0.082,8.29,0.133,1.81,7.53,14.29,Debu,9.6,1.419,Tidak Subur
1759,7.88,0.052,5.89,,1.07,17.57,45.54,Pasir,66.43,1.894,Tidak Subur
1760,7.86,0.035,7.35,0.277,1.89,9.18,51.73,Debu,62.2,1.742,Tidak Subur
1761,6.26,0.422,,0.303,2.12,43.97,83.09,Lempung Berpasir,39.93,1.011,Subur
1762,7.18,0.437,34.47,0.598,4.62,35.64,87.43,Lempung,39.37,,Subur
1763,5.22,0.165,4.28,0.144,1.76,11.23,24.73,Pasir,16.1,1.628,Tidak Subur
1764,4.18,0.167,2.15,0.258,0.56,7.56,36.59,Pasir,13.64,,Tidak Subur
1765,7.02,0.399,28.2,0.782,3.95,42.67,96.13,Lempung Berliat,39.47,1.066,Subur
1766,3.98,0.125,7.51,0.226,0.71,5.19,35.8,Pasir,19.42,1.851,Tidak Subur
1767,5.26,0.194,,0.199,1.37,17.88,49.6,Pasir,,1.7,Tidak Subur
1768,7.1,0.289,50.38,0.438,3.58,40.13,62.43,Lempung,30.5,1.187,Subur
1769,7.12,0.365,45.92,0.735,3.5,28.56,87.72,Lempung,,1.162,Subur
1770,6.77,0.403,15.2,0.529,4.41,24.66,86.63,Lempung,25.7,0.932,Subur
1771,5.23,0.191,7.57,0.18,0.45,13.45,24.38,Pasir,,1.556,Tidak Subur
1772,3.83,0.038,10.67,,0.26,13.72,38.51,Liat,16.97,1.762,Tidak Subur
1773,4.66,0.106,13.62,0.094,1.57,9.45,34.32,Pasir,10.19,1.654,Tidak Subur
1774,5.37,0.079,3.72,0.189,0.92,16.19,43.83,Debu,6.8,1.877,Tidak Subur
1775,7.91,0.019,9.01,0.283,1.53,9.69,41.54,Pasir,72.92,1.702,Tidak Subur
1776,5.28,,11.37,0.101,1.59,13.98,12.53,Liat,17.47,1.473,Tidak Subur
1777,4.5,0.02,9.52,0.273,1.5,10.71,26.57,Liat,19.84,1.845,Tidak Subur
1778,5.22,0.056,6.16,0.109,1.4,13.74,47.06,Pasir,15.65,1.771,Tidak Subur
1779,7.64,0.141,3.46,0.07,,12.2,57.1,Liat,68.45,1.676,Tidak Subur
1780,8.22,0.161,9.52,0.215,1.11,10.3,41.52,Debu,65.57,1.59,Tidak Subur
1781,4.33,0.162,,0.055,0.36,10.34,35.25,Pasir,5.95,1.811,Tidak Subur
1782,7.9,0.175,5.66,0.094,0.65,17.31,55.31,Debu,62.07,1.697,Tidak Subur
1783,8.32,0.022,12.52,,0.43,9.55,23.99,Pasir,62.12,1.509,Tidak Subur
1784,8.92,0.148,13.9,0.184,,9.04,34.17,Pasir,62.63,1.642,Tidak Subur
1785,8.91,0.07,2.09,0.177,1.21,7.1,26.06,Pasir,74.65,1.405,Tidak Subur
1786,7.31,0.235,41.71,,2.96,39.88,71.42,Lempung,,1.072,Subur
1787,7.34,0.429,31.2,0.377,4.23,26.86,76.42,Lempung Berpasir,33.98,1.102,Subur
1788,5.26,0.192,,0.227,0.63,18.78,29.18,Liat,17.35,1.589,Tidak Subur
1789,8.27,0.043,,0.227,,17.49,51.91,Liat,59.99,1.844,Tidak Subur
1790,6.2,0.387,38.52,0.437,3.99,22.81,74.65,Lempung,26.34,0.932,Subur
1791,6.39,0.493,52.6,0.363,2.75,32.36,69.33,Lempung Berpasir,,0.907,Subur
1792,7.39,,42.16,0.545,2.63,44.56,70.83,Lempung Berpasir,28.46,1.123,Subur
1793,3.82,0.135,3.42,0.092,,7.06,17.77,Debu,7.39,1.712,Tidak Subur
1794,4.4,0.138,,0.055,1.81,7.56,56.83,Pasir,14.88,1.416,Tidak Subur
1795,8.31,0.104,,0.103,0.8,15.75,40.41,Pasir,,1.647,Tidak Subur
1796,4.21,0.121,6.37,0.095,0.79,12.19,23.74,Pasir,8.13,1.899,Tidak Subur
1797,7.26,0.351,51.2,0.384,4.43,33.22,62.67,Lempung,35.75,0.922,Subur
1798,4.1,0.146,8.34,0.116,1.87,11.14,11.2,Pasir,11.64,1.858,Tidak Subur
1799,7.43,0.416,44.63,0.405,,22.67,67.54,Lempung,36.72,0.956,Subur
1800,3.93,0.034,5.05,0.184,0.37,8.48,58.71,Pasir,13.62,1.742,Tidak Subur
1801,7.86,0.111,10.69,0.159,0.89,17.81,11.41,Liat,68.67,1.409,Tidak Subur
1802,7.36,0.43,51.5,0.501,3.18,44.64,99.71,Lempung,27.47,0.911,Subur
1803,8.12,0.179,6.34,0.19,1.44,14.27,10.84,Debu,56.15,1.521,Tidak Subur
1804,3.79,0.047,,0.076,1.89,13.61,24.25,Debu,19.11,1.869,Tidak Subur
1805,6.88,0.304,35.82,0.592,2.63,37.32,67.79,Lempung,,1.17,Subur
1806,8.65,0.169,12.37,0.247,1.24,8.74,54.07,Liat,60.5,1.661,Tidak Subur
1807,6.74,0.261,50.68,0.636,3.4,30.95,89.68,Lempung Berpasir,43.11,1.162,Subur
1808,3.84,0.144,6.2,0.19,1.59,8.81,33.99,Pasir,12.14,1.452,Tidak Subur
1809,6.02,0.29,18.28,0.509,2.15,26.98,83.08,Lempung Berpasir,42.64,1.06,Subur
1810,5.06,0.148,11.1,0.189,1.44,13.91,19.17,Debu,13.23,1.858,Tidak Subur
1811,7.12,0.433,23.81,0.679,2.11,40.81,82.81,,33.64,1.156,Subur
1812,6.66,0.368,,0.428,3,30.57,63.11,Lempung Berpasir,37.31,1.142,Subur
1813,7.73,0.051,,0.063,0.87,15.46,41.43,Debu,68.98,1.763,Tidak Subur
1814,8.96,0.049,2.59,0.095,1.11,5,56.83,,56.55,1.601,Tidak Subur
1815,3.59,,10.6,0.237,0.32,15.11,28.73,Debu,13.06,1.516,Tidak Subur
1816,7.28,0.326,46.21,,2.17,34.66,96.03,Lempung Berpasir,41.64,0.925,Subur
1817,8.86,0.184,8.04,0.166,1.09,14.24,51.68,Pasir,64.19,1.437,Tidak Subur
1818,4.57,0.186,8.24,0.202,1.09,17.16,38.64,Debu,16.06,,Tidak Subur
1819,6.15,0.408,27.6,0.729,3.76,40.05,70.34,Lempung,,1.05,Subur
1820,6.56,0.259,34.37,0.744,3.94,41.7,90.01,,44.18,0.971,Subur
1821,6.03,0.222,34.66,0.316,2.89,32.57,78.7,Lempung Berpasir,33.75,1.054,Subur
1822,6.56,,55.23,0.498,3.15,25.27,80.12,Lempung Berliat,43.34,0.986,Subur
1823,6.64,0.282,16.15,,2.23,31.45,73.18,Lempung Berliat,34,1.038,Subur
1824,7.14,0.424,38.83,0.598,4.57,26.32,99,Lempung,40.84,1.09,Subur
1825,8.26,0.123,8.43,0.173,0.81,18.07,51.67,Pasir,74.08,1.684,Tidak Subur
1826,3.91,0.176,1.69,0.074,1.71,12.61,39.61,Liat,10.38,1.409,Tidak Subur
1827,4.74,0.168,6.82,0.095,0.31,11.83,22.42,Liat,17.65,1.465,Tidak Subur
1828,8.75,0.198,11.29,0.201,1.27,7.8,57.49,Pasir,69.73,1.649,Tidak Subur
1829,6.32,0.361,50.18,0.534,4.58,28.17,79.78,Lempung,30.51,0.996,Subur
1830,7.73,0.021,7.73,0.252,1,12,35.62,Liat,64.27,1.408,Tidak Subur
1831,6.94,0.365,,0.487,,40.53,69.91,Lempung Berliat,44.86,1.171,Subur
1832,8.59,0.117,6.46,0.063,0.23,12.73,18.68,Pasir,63.62,1.848,Tidak Subur
1833,6.12,0.244,23.79,0.587,3.64,30.01,81.25,Lempung Berliat,30.29,1.076,Subur
1834,8.48,0.062,13.58,0.085,0.51,17.23,25.91,Debu,,1.641,Tidak Subur
1835,7.26,0.228,,0.764,2,36.09,63.59,Lempung,39.49,1.19,Subur
1836,7,0.449,32.06,0.418,2.89,25.29,72.37,Lempung,37.12,1.146,Subur
1837,6.04,0.436,50.91,0.304,2.78,30.54,67.93,Lempung,,1.181,Subur
1838,6.64,0.311,38.47,0.43,4.46,29.46,77.33,Lempung,38.73,1.068,Subur
1839,8.45,0.173,2.78,0.116,0.54,16.56,39.99,Pasir,66.07,1.479,Tidak Subur
1840,8.45,0.035,6.7,0.108,1.88,16.8,40.72,Pasir,55.23,1.615,Tidak Subur
1841,6.58,0.455,31.41,0.729,4.85,44.17,73.16,Lempung Berpasir,25.07,0.97,Subur
1842,6.46,0.217,40.81,0.799,2.86,25.82,78.98,Lempung,30.61,1.067,Subur
1843,5.03,0.183,6.4,0.257,0.51,8.16,38.02,Liat,19.08,1.623,Tidak Subur
1844,4.35,0.124,,0.116,1.04,6.96,27.35,Liat,18.34,1.737,Tidak Subur
1845,6.39,0.229,32.69,,4.76,42.31,85.53,Lempung,44.6,1.168,Subur
1846,6.96,0.454,24.41,0.749,2.7,25.88,62.19,Lempung Berpasir,31.78,1.085,Subur
1847,6.96,,58.96,0.577,4.55,27.61,88.13,Lempung,28.83,1.184,Subur
1848,7.41,0.408,47.37,0.4,3.78,44.09,60.72,Lempung,38.63,1.133,Subur
1849,4.37,0.035,5.29,0.148,0.85,15.86,35.76,Pasir,17.14,1.402,Tidak Subur
1850,6.18,,53.28,0.39,4.6,39.06,83.74,Lempung Berpasir,44.59,0.944,Subur
1851,3.96,0.187,11.88,0.18,0.23,14.89,48.81,Pasir,18.34,1.515,Tidak Subur
1852,7.19,0.469,48.44,0.56,4.11,36.62,83.14,Lempung,29.06,1.043,Subur
1853,8.22,0.082,7.71,0.225,0.59,15.14,34.03,Liat,,1.695,Tidak Subur
1854,8.17,0.053,11.71,0.282,0.69,10.12,17.03,Liat,68.84,1.775,Tidak Subur
1855,7.22,0.314,35.09,0.344,2.44,40.25,98.71,Lempung Berpasir,,1.163,Subur
1856,6.43,0.22,36.69,0.751,3.04,22.42,98.66,Lempung Berliat,26.49,1.021,Subur
1857,7.01,0.341,16.39,0.416,3.01,32.28,90.48,Lempung,40.21,1.058,Subur
1858,8.62,,13.17,0.104,0.55,13.71,42.68,Liat,60.19,1.528,Tidak Subur
1859,6.62,0.231,,0.749,3.62,34.23,76.55,Lempung,26.79,,Subur
1860,6.27,0.247,39.86,0.584,3.51,21.65,75.36,Lempung Berpasir,33.06,1.122,Subur
1861,8.82,0.051,9.43,0.081,1.69,10.1,50.96,Liat,64.21,1.607,Tidak Subur
1862,4.4,0.169,8.11,0.18,,11.29,39.82,Liat,17.18,1.677,Tidak Subur
1863,4.86,,9.16,0.132,1.47,16.3,38.03,Debu,10.82,1.453,Tidak Subur
1864,3.82,0.114,,0.14,0.86,16.34,31.2,Liat,18.34,1.521,Tidak Subur
1865,7.02,,37.52,0.515,,38.38,95.85,Lempung,26.82,1.059,Subur
1866,4.03,0.08,2.79,0.05,0.9,18.36,37.72,Debu,11.49,1.455,Tidak Subur
1867,4.2,0.196,5.62,0.253,1.51,11.32,22.46,Debu,9.8,1.432,Tidak Subur
1868,6.89,0.227,46.16,0.415,4.58,40.86,69.03,Lempung,,0.997,Subur
1869,7.75,0.164,,0.123,0.41,13.23,23.16,Pasir,,1.505,Tidak Subur
1870,6.42,0.332,,0.624,4.6,38.43,69.53,Lempung,44.31,1.051,Subur
1871,8.4,0.122,12.95,0.281,,17.62,39.03,Pasir,55.8,1.655,Tidak Subur
1872,6.27,0.415,38.96,0.611,3.92,24.91,78.2,Lempung Berpasir,38.54,0.976,Subur
1873,4.79,0.148,4.61,0.072,0.36,6.65,51.95,Debu,18.16,1.814,Tidak Subur
1874,3.78,0.016,13.1,0.137,1.48,6.4,12.62,Debu,,,Tidak Subur
1875,6.42,0.276,49.28,0.74,3.7,34.21,76.43,Lempung,34.37,1.005,Subur
1876,6.42,0.382,50.93,0.649,3.52,25.96,95.59,Lempung,33.47,0.989,Subur
1877,6.83,0.23,49.47,0.477,3.74,29.09,71.89,Lempung,43.72,0.9,Subur
1878,7.12,0.352,35.15,,2.75,24.37,71.41,Lempung Berpasir,42.97,1.184,Subur
1879,6.49,0.234,52.32,0.383,,31.11,66.14,Lempung Berpasir,36.26,1.061,Subur
1880,6.88,0.424,59.15,0.334,4.86,36.57,72.14,Lempung,26.16,1.055,Subur
1881,3.89,0.088,,0.246,1.21,5.61,22.98,Pasir,14.11,1.869,Tidak Subur
1882,6.04,0.296,41.6,0.579,3.09,31.2,90.75,Lempung Berpasir,32.47,1.116,Subur
1883,7.06,0.407,31.61,0.679,4.71,34.27,67.6,Lempung,34.73,1.193,Subur
1884,8.21,0.056,3.32,0.234,1,8.17,41.79,Pasir,69.98,,Tidak Subur
1885,7.1,0.279,16.06,0.431,4.76,23.6,71.65,Lempung Berliat,34.91,1.116,Subur
1886,8.23,0.056,3.28,0.225,0.38,6.34,48.94,Pasir,58.37,1.885,Tidak Subur
1887,6.78,0.268,15.34,0.333,2.89,23.36,95.25,Lempung Berliat,41.83,1.171,Subur
1888,8.15,0.088,13.04,,1.65,5.71,49.91,Debu,60.76,1.75,Tidak Subur
1889,3.51,0.137,1.94,0.253,,12.16,58.38,Pasir,12.89,1.405,Tidak Subur
1890,4.41,0.067,6.08,0.126,0.55,11.8,18.41,Liat,15.07,1.625,Tidak Subur
1891,8.2,0.111,1.37,0.069,0.62,11.4,49.6,,56.01,1.882,Tidak Subur
1892,5.11,0.087,3.75,0.288,0.89,16.41,41.73,Pasir,11.93,1.54,Tidak Subur
1893,6.74,,21.26,0.384,2.18,25.44,67.65,Lempung Berliat,27.83,0.977,Subur
1894,8.9,0.176,10.01,0.27,0.5,13.02,36.27,Debu,59.55,1.423,Tidak Subur
1895,6.78,0.491,49.72,0.589,4.8,21.42,65.24,Lempung Berpasir,39.19,,Subur
1896,7.68,0.056,5.41,0.211,0.94,14.63,57.66,Pasir,62,1.891,Tidak Subur
1897,6.44,0.295,38.06,0.644,4.82,27.62,85.53,Lempung,38.92,0.987,Subur
1898,6.14,0.401,53.94,0.521,4.69,37.11,83.19,Lempung,35.3,1.157,Subur
1899,6.13,,19.98,0.552,2.59,44.57,76.1,,33.15,1.033,Subur
1900,6.95,0.247,42.94,0.311,,21.01,72.05,Lempung,27.53,1.091,Subur
1901,8.75,0.164,,0.211,0.57,15.52,34.74,Liat,61.3,1.513,Tidak Subur
1902,6.25,0.388,36.78,0.598,2.5,43.09,92.29,Lempung Berpasir,30.68,0.938,Subur
1903,7.35,0.259,18.23,0.347,3.56,44.17,95.3,Lempung Berpasir,43.63,0.988,Subur
1904,6.5,0.3,20.65,,3.99,34.11,75.16,Lempung Berpasir,31.46,1.115,Subur
1905,7.65,0.069,11.49,0.104,1.47,18.45,24.8,Pasir,68.62,1.483,Tidak Subur
1906,8.8,0.022,4.62,0.081,1.54,13.25,43.25,Pasir,72.39,1.422,Tidak Subur
1907,8.08,,,0.255,1.62,7.95,17.21,Pasir,66.61,1.804,Tidak Subur
1908,4.8,0.172,7.03,0.099,0.68,9.79,31.63,Debu,15.86,1.548,Tidak Subur
1909,6.88,0.333,28.29,0.663,,20.62,74.25,Lempung Berliat,35.84,1.002,Subur
1910,4.05,0.029,13.64,0.084,0.58,9.3,48.16,Pasir,19.76,1.584,Tidak Subur
1911,3.55,0.018,8.5,0.258,0.67,16.65,44.12,Pasir,9.05,1.848,Tidak Subur
1912,3.79,0.118,1.79,0.051,0.79,17.34,34.76,Pasir,18.3,1.739,Tidak Subur
1913,4.99,0.089,12.44,0.102,1.56,12.8,41.95,Pasir,19.51,1.427,Tidak Subur
1914,7.81,0.066,2.39,0.217,0.32,10.57,42.43,Liat,68.35,1.772,Tidak Subur
1915,8.05,0.136,4.43,0.055,0.8,9.04,51.58,Pasir,58.73,1.768,Tidak Subur
1916,4.84,0.149,4.92,0.221,1.53,17.13,48.15,Pasir,10.69,1.63,Tidak Subur
1917,6.01,,56.31,0.719,3.44,29.43,97.91,Lempung,30.1,0.923,Subur
1918,7.45,0.232,42.38,0.439,2.47,24.16,85.57,Lempung,40.89,1.036,Subur
1919,6.22,0.301,34.48,0.766,4.48,29.38,71.49,Lempung,27.53,1.039,Subur
1920,7.42,0.386,,0.724,3.75,26.45,94.18,Lempung Berpasir,43.32,0.986,Subur
1921,5.31,0.128,11.16,,0.49,8.33,17.75,Pasir,13.39,1.712,Tidak Subur
1922,4.43,0.07,4.54,0.153,0.65,18.35,30.79,Liat,14.12,1.546,Tidak Subur
1923,8.15,0.028,7.54,0.099,1.9,17.37,24.44,,65.03,1.561,Tidak Subur
1924,5.18,0.012,9.88,0.065,0.21,7.09,22.32,Debu,7.48,1.848,Tidak Subur
1925,7.07,0.398,,0.779,3.02,21.32,91.03,Lempung Berliat,33.87,0.921,Subur
1926,5.15,0.081,1.65,0.139,1.66,6.15,28.36,Pasir,,1.749,Tidak Subur
1927,7.34,0.265,27.71,0.716,,28.39,60.15,Lempung,36.57,1.104,Subur
1928,6.53,,33.13,0.529,2.69,43.27,66.19,Lempung Berpasir,34.71,1.014,Subur
1929,4.65,0.185,11.93,,1.53,10.62,12.78,Pasir,17.6,1.555,Tidak Subur
1930,6.34,0.41,16.98,0.71,2,35.67,89.47,Lempung,44.47,1.061,Subur
1931,7.43,0.435,16.56,0.514,3.19,30.52,63.79,Lempung Berliat,38.55,1.109,Subur
1932,6.32,0.221,21.27,,2.58,35.88,80.07,Lempung,29.42,0.916,Subur
1933,7.04,0.397,20.92,0.631,2.53,31.32,97.34,Lempung Berliat,30.97,0.93,Subur
1934,6.25,0.266,43.33,0.371,2.6,26.7,81.34,Lempung Berpasir,33.37,0.906,Subur
1935,6.27,0.248,42.05,0.579,2.15,44.17,89.71,Lempung Berliat,31.66,0.98,Subur
1936,4.18,0.035,8.79,0.225,0.21,8.06,54.51,Debu,19.36,1.69,Tidak Subur
1937,6.48,0.451,43.54,0.764,2.72,25.23,76.3,Lempung Berliat,26.05,1.156,Subur
1938,6.02,0.318,32.66,0.566,4.87,30.43,96.59,Lempung Berpasir,36.47,1.158,Subur
1939,6.92,0.412,58.35,0.443,3.23,36.67,76.72,Lempung Berpasir,34.96,0.982,Subur
1940,6.89,0.247,58.06,0.544,4.03,20.67,95.94,Lempung Berpasir,33.8,1.135,Subur
1941,8.82,0.178,6.92,0.117,0.59,9.52,50.41,Debu,72.64,1.787,Tidak Subur
1942,8.6,0.075,3.62,0.13,1.79,11.7,20.53,Pasir,56.76,,Tidak Subur
1943,5.01,0.168,,0.108,1.49,12.06,38.64,Debu,9.78,1.879,Tidak Subur
1944,8.85,0.116,9.01,0.181,1.6,12.38,15.32,Debu,65.38,1.863,Tidak Subur
1945,6.68,0.385,44.81,0.704,4.22,31.86,63.56,Lempung,33.21,1.169,Subur
1946,4.26,0.049,5.72,0.227,0.3,13.63,38.43,Liat,12.71,1.776,Tidak Subur
1947,8.69,0.1,12.46,0.106,1.45,14.2,28.62,Pasir,58.15,1.776,Tidak Subur
1948,8.04,0.033,1.14,0.079,0.92,6,52.27,Pasir,64.54,1.558,Tidak Subur
1949,6.2,0.436,17.26,0.328,4.64,26.59,67.35,Lempung,38.12,1.107,Subur
1950,8.68,0.035,12.04,,0.45,6.62,14.07,Liat,57.59,1.876,Tidak Subur
1951,6.86,0.478,20.6,0.765,2.42,32.52,74.91,Lempung Berpasir,31.31,0.986,Subur
1952,6.07,0.332,53.78,0.51,3.9,29.22,87.09,Lempung Berliat,42.03,1.127,Subur
1953,6.36,0.415,,0.695,4.1,26.89,65.83,Lempung Berpasir,32.3,1.144,Subur
1954,8.01,0.148,4.08,0.145,0.69,6.97,31.51,Pasir,74.72,1.713,Tidak Subur
1955,6.39,0.483,16.13,0.752,3.34,43.81,77.44,Lempung,36.09,0.956,Subur
1956,6.72,0.369,49.78,0.433,4.95,27.31,71.79,Lempung,36.47,1.143,Subur
1957,3.57,0.2,11.92,0.22,0.97,16.99,53.44,Debu,6.95,1.728,Tidak Subur
1958,8.42,0.131,12.4,0.076,1.06,11.05,13.74,Debu,62.71,,Tidak Subur
1959,6.92,0.446,17.81,0.468,2.52,23.33,62.09,Lempung Berliat,28.71,1.063,Subur
1960,4.75,0.083,1.67,0.166,1.85,10.37,21.93,Pasir,15.23,1.508,Tidak Subur
1961,6.79,0.305,39,0.719,4.01,20.25,88.56,Lempung,42.47,1.175,Subur
1962,8.34,0.132,3.81,0.121,1.52,6.55,28.34,Pasir,70.22,,Tidak Subur
1963,6.05,0.429,24.94,0.477,2.44,23.6,85.12,Lempung,29.29,0.924,Subur
1964,6.82,0.285,,0.506,2.12,44.5,62.96,Lempung Berpasir,27.08,0.992,Subur
1965,7.28,0.244,45.11,0.603,3.02,37.43,73.5,Lempung,25.21,0.975,Subur
1966,6.21,0.296,40.21,0.516,2.72,30.88,94.13,Lempung Berliat,41.84,1.161,Subur
1967,4.29,0.044,7.51,0.124,1.88,8.76,27.15,Pasir,8.12,1.719,Tidak Subur
1968,6.18,0.401,33.08,0.624,3.65,43.87,73.89,Lempung,31.6,1.003,Subur
1969,4.72,0.138,,0.171,1.16,5.15,16.9,Pasir,9.29,1.86,Tidak Subur
1970,7.2,0.28,48.46,0.722,3.2,24.15,70.23,Lempung,35.19,0.987,Subur
1971,6.57,0.481,,0.734,4.25,35.56,74.39,Lempung Berpasir,31.45,1.005,Subur
1972,4.99,0.057,6.76,,0.4,12.55,41.63,,9.89,1.465,Tidak Subur
1973,7.21,0.304,41.2,0.74,3.67,32.78,85.14,Lempung,34.83,1.163,Subur
1974,7.1,,58.98,0.785,3.63,22.21,91.99,Lempung,41.83,1.137,Subur
1975,4.45,0.187,5.31,0.237,0.95,5.49,44.5,Liat,14.1,1.414,Tidak Subur
1976,8.29,0.129,6.62,0.182,0.49,6.21,36.8,Debu,,1.741,Tidak Subur
1977,6.65,0.421,30.96,0.378,4.48,24.04,92.98,,34.36,1.129,Subur
1978,7.23,0.324,45.58,0.358,3.04,42.81,73.13,Lempung Berpasir,28.4,0.954,Subur
1979,3.67,0.178,12.47,0.172,0.39,13.21,46.58,Pasir,10.46,1.696,Tidak Subur
1980,8.02,0.098,12.98,0.093,0.49,16.05,21.94,Debu,57.17,1.652,Tidak Subur
1981,6.63,0.42,22.3,0.703,2.82,33.98,75.04,Lempung,,0.973,Subur
1982,7.7,0.149,3.25,0.286,1.49,6.65,38.28,Debu,57.83,1.605,Tidak Subur
1983,6.41,0.272,57.59,0.391,2.4,25.92,63.32,Lempung,27.68,1.055,Subur
1984,4.87,0.131,,0.182,0.81,13.53,28.47,Debu,14.13,1.89,Tidak Subur
1985,4.46,0.155,8.8,0.182,1.78,10.11,32.5,Pasir,10.63,1.793,Tidak Subur
1986,6.96,0.258,44.56,0.308,3.82,21.55,68.24,Lempung Berpasir,39.59,1.194,Subur
1987,4.96,0.116,,0.198,0.22,13.6,11.93,Liat,18.23,,Tidak Subur
1988,6.53,0.371,,0.61,2.84,26.47,61.5,Lempung,39.89,1.109,Subur
1989,5.08,0.098,5.34,,1.07,11.14,32.16,Debu,,1.857,Tidak Subur
1990,6.43,0.493,32.78,0.528,2.4,39.44,81.52,Lempung Berliat,33.74,,Subur
1991,7.34,0.487,37.73,0.424,3.58,43.12,64.55,Lempung,37.58,1.04,Subur
1992,8.65,0.102,6.35,0.197,,16.68,27.08,Liat,,1.603,Tidak Subur
1993,4.95,0.08,10.44,0.152,0.52,15.04,27.64,Pasir,17.67,1.653,Tidak Subur
1994,8.57,0.118,10.08,,,17.91,46.04,Liat,55.2,1.535,Tidak Subur
1995,4.23,0.07,3.42,0.289,1.42,11.88,58.01,Debu,12.99,1.532,Tidak Subur
1996,5.39,0.157,8.97,0.21,0.25,8.73,46.57,Debu,12.43,1.52,Tidak Subur
1997,4.42,0.018,4.33,0.128,1.53,9.56,22.67,Liat,17.52,1.876,Tidak Subur
1998,7.16,0.435,,0.707,3.88,31.38,62.88,Lempung,35.11,1.155,Subur
1999,4.5,0.175,4.76,0.117,1.51,12.67,43.02,Pasir,12.49,1.446,Tidak Subur
2000,4.44,0.169,4.5,0.091,1.37,13.96,53.55,Pasir,15.3,1.865,Tidak Subur
